County,Value
Bergen,38367
Monmouth,31510
Middlesex,23768
Ocean,22901
Passaic,20668
Morris,20616
Essex,17641
Somerset,15984
Union,15518
Burlington,14363
Mercer,14305
Camden,11818
Hudson,11410
Gloucester,11094
Atlantic,9523
Hunterdon,7084
Cape May,6046
Sussex,5154
Warren,3358
Cumberland,2496
Salem,1880
