year,property,taxes
2005,289491,4805
2006,331690,4983
2007,360910,5391
2008,367578,5721
2009,372376,6015
2010,359016,6098
2011,357842,6383
2012,356704,6338
2013,354077,6534
2014,351274,6739
2015,354162,6875
2016,363678,7009
2017,372334,7307
2018,377763,7560
2019,383147,7790
2020,389509,8067
