id,name,group,frequency,author,date
122,The Farseer Trilogy,1,2,Robin Hobb,1995
123,A Song of Ice and Fire,1,4,George R. R. Martin,1996
124,Harry Potter Series,1,3,J. K. Rowling,1997
125,Starship Troopers,1,4,Paul Verhoeven,1997
126,Contact,1,6,Robert Zemeckis,1997
127,Brown Girl in the Ring,1,2,Nalo Hopkinson,1998
128,Cry of the Wind,1,2,Sue Harrison,1998
129,Cryptonomico,1,2,Neal Stephenson,1999
130,Revelation Space,1,4,Alastair reynolds,2000
131,Perdido Street Station,1,2,China Mieville,2000
132,Midnight Robber,1,2,Nalo Hopkinson,2000
133,The Kushiel's Legacy Series,1,2,Jacqueline Carey,2001
134,American Gods,1,3,Neil Gaiman,2001
135,Contacting Aliens,1,2,David Brin,2002
136,Altered Carbon,1,5,Richard Morgan,2002
137,The Time Traveler's Wife,1,3,Audrey Niffenegger,2003
138,Oryx and Crake,1,2,Margaret Atwood,2003
139,Cloud Atlas: A Novel,1,4,David Mitchell,2004
140,"Air: Or, Have Not Have",1,2,Geoff Ryman,2004
141,River of Gods,1,2,Ian McDonald,2004
142,Her Smoke Rose Up Forever,1,2,James Tiptree aka Alice Bradley,2004
143,Sarah Canary,1,3,Karen Joy Fowler,2004
144,Pandora's Star,1,3,Peter F. Hamilton,2004
145,Jonathan Strange and Mr. Norrell,1,3,Susanna Clarke,2004
146,Old Man's War,1,5,John Scalzi,2005
147,Never Let Me Go,1,2,Kazuo Ishiguro,2005
148,Spin Trilogy,1,3,Robert Charles Wilson,2005
149,The Road,1,5,Cormac McCarthy,2006
150,World War Z,1,5,Max Brooks,2006
151,Blindsight,1,3,Peter Watts,2006
152,The Yiddish Policeman's Union,1,2,Michael Chabon,2007
153,Anathem,1,2,Neal Stephenson,2008
154,The Hunger Games,1,3,Suzanne Collins,2008
155,The City & The City,1,2,China Mieville,2009
156,The Windup Girl,1,6,Paolo Bacigalupi,2009
157,The Way of Kings,1,2,Brandon Sanderson,2010
158,Licht - Die Trilogie: Drei Romaine,1,2,Brent Weeks,2010
159,How to Live Safely in a Science Fictional Universe: A Novel,1,3,Charles Yu,2010
160,The Martian,1,3,Andy Weir,2011
161,Zone One,1,2,Colson Whitehead,2011
162,Ready Player One,1,3,Ernest Cline,2011
163,Among Others,1,2,Jo Walton,2011
164,Ancillary Justice,1,4,Ann Leckie,2013
165,The First Fifteen Lives of Harry August,1,2,Claire North aka Catherine Webb,2014
166,We Were Liars,1,2,E Lockhart,2014
167,Area X: The Southern Research Trilogy,1,3,Jeff VanderMeer,2014
168,Red Rising,1,3,Pierce Brown,2014
